name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Pk Suji Rusk 600G,Bakery,8906151121200,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc4,33.07,True,False,,0.0,375.0
Cornflakes Cookies,Bakery,8906070991595,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fc8,7.61,True,False,,0.0,92.0
Tortillas Casa Mendosa Wrap,Bakery,063400170100,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fcb,27.88,True,False,,0.0,312.0
Rumali Roti 600Gm,Bakery,627265008673,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd7,33.44,True,False,,0.0,299.0
Verka Flax Seed Gur Cookies 2.5Lb,Bakery,884282111018,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd8,31.14,True,False,,0.0,533.0
Buns Master 1 Lb Bread Crumbs,Bakery,675786000621,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd9,25.06,True,False,,0.0,399.0
Brit Toastea Cake Rusk 550G,Bakery,6291007912050,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe0,53.33,True,False,,0.0,450.0
Nutri Mango Rolls,Bakery,062863911169,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe4,33.0,True,False,,0.05,300.0
Best Baker Plum Cake 500G,Bakery,8906133641924,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fe5,39.81,True,False,,0.0,775.0
Best Bakers Carrot Dates Cake 400G,Bakery,8906133641931,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fec,47.83,True,False,,0.0,600.0
Britania Treat Orange,Bakery,8901063165144,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fef,28.95,True,False,,0.05,38.0
Sweetened Condensed Creamer,Bakery,626800001506,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ff7,48.91,True,False,,0.0,165.0
Bikano Jeera Cookies 400Gm,Bakery,8901414002760,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ffa,43.09,True,False,,0.0,275.0
Barkat Punjabi Cookies 1.25Lb,Bakery,7247592874128,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156ffd,40.57,True,False,,0.0,350.0
Verka Ajwain Cookies 400Gm,Bakery,884282110530,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fff,48.0,True,False,,0.0,266.0
Guruji Cumin Seed Cookles,Bakery,069184402352,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157006,7.54,True,False,,0.0,650.0
Oats Raisins Cookies,Bakery,8906070992851,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157008,0.0,True,False,,0.0,299.0
Mother S Love Danish Butter Cookies 340G,Bakery,628114903927,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff8810608954715700a,43.09,True,False,,0.0,275.0
Bm Pav Buns,Bakery,675786000157,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157017,45.23,True,False,,0.0,271.0
Monaco Cookies 75Gm,Bakery,723246222080,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff8810608954715701d,145.5,True,False,,0.0,40.0
Crispy Coconut Rusk 650G,Bakery,627265010072,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff8810608954715701e,39.48,True,False,,0.0,537.0
Crispy Fruit Cake 380Gm,Bakery,627265001421,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157022,60.01,True,False,,0.0,308.0
Haldiram Soan Cake 400Gm,Bakery,8904004405231,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157023,43.06,True,False,,0.0,344.0
Vegeterian Delite Matri 1Lb,Bakery,071248165004,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157029,49.3,True,False,,0.05,462.0
Crispy Fruit Cake (Eggless) 380Gm,Bakery,627265001483,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157033,60.01,True,False,,0.0,308.0
Parle Premium Cardamom Rusk 600G,Bakery,8901719901881,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547157035,69.14,True,False,,0.0,350.0
Ama Global Chopped Spinach 1.5Kg,Other,ACS,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f16,47.75,True,False,,0.0,400.0
Ama Global Corn Kernels 1.5Kg,Other,ACK,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f17,47.91,True,False,,0.0,533.0
Hamilton Container 1500 Ml,Utensils,8902061082082,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f1b,40.75,True,False,,0.05,1200.0
Bone China Bowl 6Pc,Utensils,8769202408251,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f1c,108.32,True,False,,0.12,475.0
Que Pasa Tortilla Chip 908G,Other,096619161553,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f22,25.04,True,False,,0.0,639.0
Garbage Bags,Other,060383642839,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f3a,65.34,True,False,,0.12,597.0
Jimidar Till Gachak 400G,Other,8906171050801,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f6d,33.07,True,False,,0.0,375.0
Snowsoft Kitchen Paper Towel,Other,078443070249,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f72,64.0,True,False,,0.0,150.0
Abc Jelly Straws,Other,4711269686459,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156f75,43.15,True,False,,0.0,206.0
